id,Coordx,Coordy
4,-103.3806142,20.6467019
9,-103.4563948,20.7135301
15,-103.3573826,20.6594091
16,-103.290369,20.6628693
19,-103.3038164,20.6699891
20,-103.3809342,20.6467496
21,-103.3704142,20.6587118
22,-103.4511778,20.6507871
30,-103.3690286,20.6359011
37,-103.3258091,20.653198
42,-103.2810756,20.5620818
50,"-103.360278,",20.7025379
55,-103.3564262,20.7322654
105,-103.4537768,20.7310821
108,-103.2434868,20.6267774
112,-103.3005748,20.6967754
113,-103.3259251,20.6352592
115,-103.2914086,20.6847856
116,-103.3341595,20.6663525
121,-103.3370365,20.7255023
126,-103.3654329,20.6971178
127,-103.4370352,20.6313189
134,-103.3938532,20.697506
137,-103.352115,20.641932
139,-103.3023406,20.6754402
141,-103.3440653,20.6171187
142,-103.5020212,20.480781
143,-103.265658,20.588703
147,-103.441173,20.758569
148,-103.2678632,20.475415
149,"-103.355071,",20.6965182
150,-103.4382889,20.5969362
151,-103.337167,20.605056
153,-103.387444,20.740139
155,-103.2976608,20.66650772
156,-103.3486085,20.7044818
157,-103.2612381,20.64753342
158,-103.3186646,20.68159103
161,-103.3495865,20.67280388
162,-103.38327,20.588083
163,-103.323494,20.70370674
164,-103.4069672,20.62952423
165,-103.3330307,20.66524506
166,-103.3098602,20.69374847
169,-103.409173,20.641287
170,-103.2776489,20.65996361
171,-103.3652344,20.56864738
172,-103.4608459,20.6276989
173,-103.3068771,20.66896629
174,-103.4228973,20.67248344
177,-103.455246,20.62933159
178,-103.3045502,20.65958405
179,-103.3596115,20.70246506
180,-103.3671112,20.68489265
181,-103.2481308,20.61882591
182,-103.3335648,20.67231369
183,-103.3551712,20.63059998
185,-103.3472404,20.67379631
186,-103.3538208,20.71927261
187,-103.3455963,20.7185955
188,-103.3453754,20.7180709
189,-103.2482681,20.6793499
190,-103.43288,20.64132
192,-103.566876,20.728692
193,-103.3411927,20.72685653
194,-103.4476471,20.65880966
195,-103.3325653,20.70240402
196,-103.4502945,20.66607857
197,-103.3510361,20.65722656
199,-103.4020532,20.7280023
200,-103.3240051,20.68318367
201,-103.4009552,20.72800255
202,-103.3506775,20.67277908
203,-103.4312592,20.66270447
204,-103.3345337,20.68212128
205,-103.2318268,20.67612076
206,-103.4401398,20.71002579
207,-103.28508,20.59001541
208,-103.3246307,20.66426086
209,-103.3034515,20.67591286
210,-103.3642807,20.6716938
211,-103.246964,20.622379
212,-103.3870952,20.629382
213,-103.3055209,20.6647719
214,-103.3332825,20.69872475
216,-103.4003983,20.64975357
217,-103.3593521,20.67811584
218,-103.3524475,20.62159348
219,-103.3636246,20.68687439
221,-103.3296814,20.59473038
222,-103.33219,20.584494
223,-103.3669128,20.65041733
225,-103.4269791,20.6882019
226,-103.3462524,20.67051315
227,-103.3377228,20.60628128
228,-103.437355,20.62371635
229,-103.299444,20.645389
230,-103.3602142,20.62887383
231,-103.3347092,20.5988884
233,-103.2810059,20.66423607
234,-103.324501,20.72299576
235,-103.3771744,20.62438393
236,-103.3211517,20.64693451
237,-103.4591241,20.7130126
238,-103.44742,20.744482
239,-103.447796,20.743657
240,-103.3679256,20.6322395
241,-103.4194641,20.74332237
242,-103.3091125,20.67419624
243,-103.429312,20.632024
244,-103.3660431,20.66988182
245,-103.3097687,20.66640663
246,-103.3650818,20.67610359
247,-103.4227066,20.62129593
248,-103.3880005,20.67326546
249,-103.2624435,20.62907028
250,-103.3903656,20.6795063
251,-103.4233398,20.73429108
252,-103.4609528,20.64211464
253,-103.3165891,20.5752694
254,-103.4550041,20.4812712
256,-103.2743988,20.59361649
257,-103.3098602,20.69374847
259,-103.355835,20.7422657
260,-103.3883057,20.70973778
261,-103.3990402,20.65082169
262,-103.3829041,20.64947891
264,-103.4273029,20.8532469
265,-103.3557587,20.5727787
266,-103.3529205,20.69418526
268,-103.3806458,20.67948723
269,-103.3786087,20.6893158
270,-103.4524002,20.69915962
271,-103.2773438,20.66048241
272,-103.3153687,20.60870171
275,-103.3810043,20.63205147
276,-103.308075,20.68908691
277,-103.3076477,20.64195442
279,-103.2994919,20.69570923
280,-103.3607635,20.69334221
281,-103.435379,20.68173027
282,-103.3163376,20.64968109
283,-103.3406601,20.60936356
284,-103.3761826,20.70283127
286,-103.306104,20.648629
287,-103.4061661,20.64614868
288,-103.3175583,20.65563393
289,-103.415329,20.6918354
291,-103.3400989,20.6502276
292,-103.3474503,20.7035923
293,-103.454044,20.555522
294,-103.3637161,20.66218758
295,-103.3676758,20.63219261
296,-103.3550186,20.69934464
297,-103.4526291,20.766819
298,-103.2768707,20.60447884
299,-103.3593597,20.67034149
300,-103.4413452,20.63021851
301,-103.4189529,20.72478676
302,-103.3607539,20.6624771
303,-103.4107437,20.62729073
304,-103.3983994,20.74594116
305,-103.2864914,20.59971619
306,-103.3238373,20.62727165
307,-103.4526987,20.6694789
308,-103.2943344,20.68035126
309,-103.3726425,20.65613747
310,-103.3177338,20.66382599
311,-103.4513092,20.61774635
312,-103.2727509,20.68844986
313,-103.4577179,20.6486187
314,-103.3846817,20.64454651
315,-103.3538208,20.71927261
316,-103.2918445,20.6629847
317,-103.3329926,20.58906174
320,-103.3516464,20.67141151
321,-103.3720627,20.66534805
322,-103.3625031,20.7337513
323,-103.2760468,20.66856384
324,-103.2522442,20.525013
325,-103.3538818,20.74462128
326,-103.3008041,20.65535164
327,-103.2455292,20.62725067
328,-103.2893448,20.66417122
329,-103.4312286,20.66966248
330,-103.3763046,20.62420273
331,-103.3404083,20.68199539
332,-103.4270401,20.67337036
333,-103.3428639,20.6683444
334,-103.283783,20.68387604
335,-103.2786789,20.6529026
336,-103.2557449,20.62694168
337,-103.3153229,20.67378426
338,-103.3637009,20.68483162
339,-103.2420289,20.4957771
340,-103.3327103,20.66248512
342,-103.2699814,20.64919472
343,-103.3395462,20.63952637
344,-103.3740311,20.71342659
345,-103.3013819,20.6553983
346,-103.3259577,20.59567
348,-103.4337769,20.62541962
349,-103.371582,20.67136574
351,-103.4629211,20.78166962
352,-103.3560257,20.65926743
353,-103.4306183,20.67278481
354,-103.4488678,20.62972832
355,-103.3322449,20.58480263
356,-103.3234863,20.68539238
357,-103.3575401,20.676123
358,-103.3434219,20.65293121
359,-103.3137223,20.6578202
360,-103.4349672,20.6166622
361,-103.4383767,20.7635297
363,-103.3004074,20.69367981
364,-103.368103,20.7357235
365,-103.3497162,20.64326859
366,-103.3938141,20.63546562
367,-103.2456207,20.62727547
368,-103.3746373,20.6667586
369,-103.3151932,20.72730255
370,-103.3910141,20.66643143
371,-103.355072,20.7070961
372,-103.2967987,20.71122932
373,-103.3063049,20.6909256
374,-103.3666534,20.73561668
375,-103.3688812,20.67888832
376,-103.4729767,20.54269791
377,-103.364563,20.74044609
378,-103.3601303,20.54199028
379,-103.3689804,20.72258759
380,-103.357605,20.50803375
382,-103.3232422,20.69380569
383,-103.4097366,20.66861725
384,-103.419014,20.72473145
385,-103.2724991,20.64844322
386,-103.3915176,20.65515709
388,-103.2508087,20.65890884
389,-103.3280411,20.60803032
390,-103.4373627,20.5990448
391,-103.2394104,20.60116959
392,-103.2642822,20.6858387
393,-103.3527674,20.6572816
394,-103.3523712,20.67724037
395,-103.3695526,20.72619438
396,-103.2621307,20.68457413
397,-103.3787613,20.63098717
400,-103.4001436,20.5968377
403,-103.311142,20.69176865
404,-103.373909,20.62374687
405,-103.2476472,20.438574
406,-103.4278256,20.5557143
407,-103.4235992,20.67331696
408,-103.4455551,20.4734592
409,-103.3638306,20.57391548
410,-103.3799744,20.67561722
411,-103.3082657,20.72208786
412,-103.3070823,20.7218574
413,-103.4360886,20.63075829
415,-103.409729,20.73337364
416,-103.3548355,20.71327209
417,-103.4530106,20.71201515
418,-103.3669128,20.65041733
419,-103.347023,20.62309456
420,-103.3296967,20.64616394
422,-103.2758026,20.65977287
423,-103.3672028,20.67234039
424,-103.3153,20.69260406
425,-103.2481308,20.61882591
426,-103.359375,20.67167473
427,-103.3708038,20.68502808
428,-103.2908968,20.5264853
429,-103.3239136,20.70812988
430,-103.3120651,20.6773777
431,-103.3819199,20.68258476
432,-103.261261,20.67692375
433,-103.310463,20.68942833
434,-103.3397153,20.5813545
435,-103.3557892,20.74369049
436,-103.4047546,20.7317791
438,-103.3347092,20.67949295
439,-103.352272,20.68185234
440,-103.3892599,20.7407909
441,-103.4511261,20.76652527
442,-103.2766647,20.66537285
443,-103.3466034,20.67731285
444,-103.3428116,20.61523628
445,-103.4488678,20.62972832
446,-103.3970566,20.73345947
447,-103.3450699,20.7215023
448,-103.2807007,20.66594887
449,-103.3648224,20.6388855
450,-103.4213791,20.66271019
451,-103.4706392,20.5475323
452,-103.4773262,20.547442
453,-103.354805,20.67718506
454,-103.3597946,20.62120628
455,-103.2898254,20.62271118
456,-103.3716812,20.62247849
458,-103.5311687,20.729089
459,-103.3106766,20.70957375
460,-103.3718719,20.6579628
461,-103.2940979,20.70713425
462,-103.3359756,20.65052032
463,-103.4426309,20.5696737
464,-103.274231,20.65874863
465,-103.4350163,20.453042
467,-103.2887573,20.67943382
468,-103.4526825,20.6407032
469,-103.3868103,20.59171486
470,-103.4649175,20.54394779
471,-103.3049164,20.67177391
472,-103.239006,20.59152603
473,-103.3901443,20.66246223
474,-103.3330231,20.64590454
475,-103.3625031,20.7337513
476,-103.3313675,20.67874146
478,-103.2417984,20.59327888
479,-103.4275061,20.5336588
480,-103.3417664,20.65077209
481,-103.3391037,20.68315125
482,-103.286087,20.67385292
483,-103.437706,20.76301575
484,-103.4688255,20.5582179
485,-103.2402417,20.683602
486,-103.3152313,20.66807747
487,-103.4394932,20.5713133
488,-103.3829041,20.64947891
490,-103.2457512,20.6844493
491,-103.3979497,20.5075402
492,-103.404213,20.53791237
493,-103.2980499,20.61911964
494,-103.3531036,20.66088295
495,-103.2569515,20.4648257
496,-103.2718287,20.6089574
497,-103.3713482,20.6973193
498,-103.444252,20.7680912
499,-103.371933,20.63588142
500,-103.3644104,20.74343872
501,-103.3715769,20.6705536
502,-103.3217545,20.59061432
503,-103.4232178,20.65831184
504,-103.3452988,20.72140312
506,-103.4771881,20.79560661
507,-103.3213272,20.71292877
508,-103.4373627,20.5990448
509,-103.3519974,20.7311306
510,-103.2968903,20.690485
511,-103.4485855,20.69560623
513,-103.3196487,20.68837547
514,-103.3101196,20.66538811
515,-103.4007999,20.6183324
516,-103.2957764,20.70570946
517,-103.3625412,20.57775307
518,-103.3427124,20.66987419
519,-103.4217727,20.7316099
520,-103.431114,20.589315
521,-103.3699417,20.52993774
522,-103.4598236,20.70366478
523,-103.3939133,20.7315464
524,-103.4161987,20.64039421
525,-103.35466,20.67490578
527,-103.3864097,20.753126
528,-103.4392014,20.65865326
529,-103.4669571,20.63513756
530,-103.2905762,20.5255062
531,-103.4659119,20.63594818
532,-103.3067169,20.64443016
533,-103.3287659,20.65204239
534,-103.3455582,20.72133636
535,-103.2948803,20.5300036
540,-103.3529968,20.64794731
542,-103.399353,20.64254379
543,-103.4286499,20.72997665
544,-103.3785858,20.67928505
545,-103.4269638,20.61478424
546,-103.2616425,20.68589973
547,-103.1678312,20.572195
548,-103.3009567,20.67512894
549,-103.442858,20.648447
550,-103.4598334,20.7032559
551,-103.3403931,20.68313408
552,-103.3614144,20.5471296
553,-103.362999,20.68196869
554,-103.2811127,20.66338539
555,-103.3642044,20.74823189
557,-103.3526611,20.69799232
558,-103.3090439,20.61732864
559,-103.3879395,20.642416
560,-103.3768768,20.63028145
561,-103.4647293,20.62541389
563,-103.3655427,20.7221467
564,-103.3548508,20.67412758
565,-103.4061661,20.64614868
566,-103.3115234,20.65837288
567,-103.4466782,20.76983643
570,-103.3870926,20.72523308
571,-103.3483875,20.629086
572,-103.4236908,20.73508453
573,-103.3178024,20.66069221
574,-103.3461227,20.6291008
575,-103.371727,20.67904854
576,-103.3540497,20.69888115
577,-103.4396561,20.7609254
579,-103.3466034,20.67731285
580,-103.4642192,20.5446633
581,-103.375689,20.6240259
582,-103.3538208,20.71927261
583,-103.4407501,20.64361191
584,-103.447319,20.63977432
585,-103.4602737,20.64506912
586,-103.403053,20.648224
587,-103.2911301,20.66720963
588,-103.3659296,20.6642733
589,-103.3465424,20.68985367
590,-103.3517704,20.7067349
591,-103.2723541,20.69175339
592,-103.4169998,20.55851364
593,-103.3122482,20.6464386
594,-103.3551025,20.69615364
595,-103.3522568,20.68276024
596,-103.346138,20.71412468
597,-103.3715213,20.7002455
598,-103.411644,20.73101807
600,-103.4583206,20.70864296
602,-103.4330327,20.4640569
603,-103.3003693,20.66679382
604,-103.3127747,20.56100082
605,"-103.315795,",20.6446286
606,-103.4516392,20.6176973
607,-103.371582,20.67136574
608,-103.3503876,20.67946243
609,-103.3739243,20.62227631
610,-103.3283844,20.66835403
611,-103.4155884,20.62308693
612,-103.4565125,20.64966011
613,-103.411362,20.743734
614,-103.3302231,20.62648964
615,-103.4341736,20.75853348
616,-103.3539658,20.68277359
617,-103.455627,20.717493
618,-103.2833862,20.61052895
619,-103.4441173,20.7303512
621,-103.3844281,20.7060569
622,-103.2785339,20.6883812
623,-103.3532104,20.65039444
624,-103.2948303,20.68873978
625,-103.3938828,20.73140526
626,-103.4150085,20.63545227
627,-103.3327408,20.69846344
628,-103.3963318,20.61320877
629,-103.2698898,20.65761566
630,-103.447151,20.745565
632,-103.3546982,20.67218399
635,-103.3651276,20.63015175
636,-103.446678,20.766653
637,-103.3463659,20.6543094
638,-103.3857346,20.65824318
639,-103.2637634,20.69003487
640,-103.335289,20.66722488
641,-103.3935181,20.7398793
643,"-103.314446,",20.6464483
644,-103.2856293,20.61663246
645,-103.4687347,20.63352966
646,-103.3763324,20.7125652
647,-103.3765793,20.71332169
648,-103.3548203,20.67634201
649,-103.3583298,20.56100464
650,-103.3370743,20.72545815
651,-103.327919,20.66426468
652,-103.3620148,20.6868248
653,-103.3370743,20.72545815
655,-103.2322083,20.5990448
656,-103.4245605,20.68377113
657,-103.3139877,20.69924164
660,-103.3340312,20.5472405
661,-103.3339767,20.54715729
662,-103.3216071,20.61800476
664,-103.4292984,20.63197136
665,-103.3324203,20.60724258
666,-103.3980179,20.72801781
667,-103.3865433,20.6795311
668,-103.3715897,20.6722641
669,-103.3519669,20.64229584
670,-103.3568573,20.67407036
671,-103.247139,20.60351181
672,-103.3474503,20.7035923
673,-103.3785706,20.73864365
675,-103.3487778,20.62825203
677,-103.40599,20.646229
678,-103.3009567,20.67512894
679,-103.322464,20.62915802
681,-103.316843,20.721158
682,-103.3740311,20.71342659
684,-103.4467697,20.64882469
685,-103.3585739,20.67481995
687,-103.3401718,20.68589592
688,-103.3021927,20.69021416
689,-103.3552475,20.7201767
690,-103.3863227,20.7313969
692,-103.2698898,20.65761566
694,-103.3670654,20.66766548
697,-103.353546,20.701446
699,-103.4232938,20.5847599
703,-103.234833,20.668778
704,-103.4095001,20.71277428
709,-103.3722916,20.69735336
710,-103.3335419,20.72414017
712,-103.438212,20.682606
713,-103.2779694,20.63866425
714,-103.3543091,20.67808342
715,-103.3575668,20.62834358
716,-103.2557394,20.65812
717,-103.3541486,20.6837892
718,-103.410759,20.59407043
719,-103.3461914,20.68358612
720,-103.4133148,20.73085785
721,-103.3491246,20.506045
722,-103.2944336,20.66194725
723,-103.3826752,20.67217064
724,-103.45163,20.731115
725,-103.3417664,20.65077209
726,-103.3285904,20.66259384
727,-103.3480453,20.62679291
728,-103.437761,20.763021
729,-103.2838135,20.65144157
730,-103.2627106,20.59447861
731,-103.3593979,20.72772026
732,-103.3548584,20.70487022
736,-103.3289116,20.6641349
737,-103.4741172,20.5352683
739,-103.3037262,20.66198349
742,-103.4210205,20.62902832
743,-103.384819,20.67680931
746,-103.3562958,20.5503927
748,-103.3735809,20.68437195
749,-103.4281616,20.75026321
750,-103.3910751,20.73494148
751,-103.4939117,20.80164719
752,-103.3444061,20.68296242
753,-103.4549234,20.4827758
754,-103.4346161,20.65842247
755,-103.376137,20.712837
756,-103.3669128,20.65041733
757,-103.2415237,20.67940521
758,-103.3219785,20.6288918
760,-103.3750687,20.71235085
761,-103.3799896,20.67059135
762,-103.362528,20.733758
763,-103.3443832,20.67071533
764,-103.4177856,20.59807205
765,-103.25182,20.628398
766,-103.360689,20.661882
767,-103.319639,20.688425
769,-103.3237991,20.59508705
770,-103.439004,20.762783
771,-103.397934,20.747765
772,-103.429283,20.641559
773,-103.3299942,20.67407227
774,-103.369278,"20.652707,"
775,-103.4202984,20.6822878
776,-103.3589554,20.63202477
777,-103.4175599,20.7267137
778,-103.349515,20.623451
779,-103.3538361,20.68704987
780,-103.3801956,20.65716743
781,-103.365059,20.684886
782,-103.3620857,20.6841506
783,-103.4318695,20.59719467
784,-103.3550186,20.69934464
785,-103.38188,20.656358
786,-103.4457957,20.6300425
787,-103.3765793,20.71332169
788,-103.3384399,20.6530571
789,-103.3053513,20.6535511
790,-103.3872528,20.72436142
791,-103.452183,20.604109
792,-103.3322449,20.58480263
793,-103.277681,20.685544
794,-103.470424,20.801036
795,-103.4189529,20.72478676
796,-103.3713837,20.62340927
797,-103.3563763,20.6207048
798,-103.3920581,20.7429331
799, -103.419236,20.740602
800,-103.4360886,20.63075829
801,-103.437706,20.76301575
802,-103.361959,20.689775
803,-103.3538208,20.71927261
804,-103.3929534,20.6664412
805,-103.412771,20.635894
806,-103.3799744,20.64668846
807,-103.368544,20.7274846
808,-103.4447128,20.777462
809,-103.336176,20.629972
810,-103.3890228,20.72891808
812,-103.4238521,20.7299895
813,-103.3423233,20.6744957
814,-103.2830231,20.6649786
815,-103.437706,20.76301575
816,-103.3337708,20.66372108
818,-103.1832984,20.5171561
819,-103.4560577,20.6224267
820,-103.364799,20.6747459
821,-103.3115768,20.68178368
822,-103.3638992,20.62043953
823,-103.2508087,20.65890884
825,-103.3291025,20.5508275
826,-103.354962,20.6689467
827,-103.320103,20.710082
828,-103.3611221,20.66103935
829,-103.3526147,20.6481579
830,-103.3667678,20.7344391
831,-103.391304,20.73988724
833,-103.3750687,20.71235085
834,-103.4304301,20.5792635
835,-103.4530182,20.65556908
836,-103.3726507,20.6536989
837,-103.3695187,20.6793445
839,-103.3412511,20.512868
841,-103.3239455,20.5951104
842,-103.4474623,20.7694031
844,-103.2957628,20.6724963
845,-103.4498344,20.6458464
846,-103.4069201,20.7315336
847,-103.389209,20.7450365
848,-103.306282,20.6743955
849,-103.3877258,20.7401476
850,-103.3400434,20.7267151
853,-103.3805731,20.6613115
855,-103.4129507,20.7310621
858,-103.3458478,20.7218052
860,-103.3306516,20.7232113
861,-103.3699192,20.6471083
862,-103.3462912,20.7141232
863,-103.3078989,20.663098
865,-103.316478,20.7044265
866,-103.444512,20.6320633
869,-103.4447979,20.5653321
870,-103.4437284,20.4714469
871,-103.4361618,20.6680014
873,-103.3214499,20.5897852
875,-103.3351827,20.6653528
876,-103.3280445,20.6532922
877,-103.3392026,20.6810411
878,-103.3201242,20.605478
879,-103.3804748,20.6571977
880,-103.3673071,20.6501173
882,-103.3597831,20.6370365
883,-103.4484461,20.7184425
884,-103.3518842,20.6789762
885,-103.4572542,20.7130972
886,-103.34686,20.5292795
888,-103.281023,20.6437053
889,-103.3360717,20.6998241
891,-103.2879956,20.6626427
893,-103.2495731,20.5968093
894,-103.28321,20.703321
895,-103.34918,20.64356
896,-103.32448,20.7115976
897,-103.3795206,20.7284506
899,-103.3866828,20.6755167
902,-103.3453082,20.579543
903,-103.4396612,20.6830828
906,-103.4058586,20.6526904
907,"-103.260027,",20.4651438
909,-103.2876589,20.6792967
911,-103.2739392,20.6752213
912,-103.3237091,20.650379
913,-103.4770752,20.778884
914,-103.3391437,20.7264794
915,-103.3703239,20.6260545
916,-103.3847806,20.6712574
917,-103.4432704,20.6486182
919,-103.2549942,20.6582874
920,-103.2421228,20.5182662
921,-103.32438,20.6708554
922,-103.4321522,20.613171
923,-103.4806078,20.717157
924,-103.3646399,20.7337812
926,-103.3191629,20.7209346
